"Year","TotalValue"
2010,4482.68055555555
2011,4916.95657276995
2012,4781.38631790745
2013,4560.21448692153
2014,4481.68873239437
2015,4731.45714285714
2016,4584.65714285714
2017,4793
2018,5034.05714285714
2019,4726.35714285714
2020,5127.21172626305
2021,4337.20341523396
2022,5059.71428571429
2023,5021.19875776397
2024,1244.32857142857
