"Year","AverageFare"
2010,373.556712962963
2011,409.746381064163
2012,398.44885982562
2013,380.017873910127
2014,373.474061032864
2015,394.288095238095
2016,382.054761904762
2017,399.416666666667
2018,419.504761904762
2019,393.863095238095
2020,427.267643855254
2021,361.433617936163
2022,421.642857142857
2023,418.433229813665
2024,414.776190476191
