"","Month","TotalValue"
"1","Jan",359.088165288025
"2","Feb",376.697346672628
"3","Mar",412.995761234071
"4","Apr",378.306268962984
"5","May",372.411506005143
"6","Jun",406.923496807915
"7","Jul",387.068367346939
"8","Aug",386.236478997193
"9","Sep",436.329124412788
"10","Oct",395.51236590587
"11","Nov",398.489713371305
"12","Dec",456.607885008463
